"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"        15.0 to 19.9 percent","53,624","±3,280","10.3%","±0.6","5,828","±966","11.1%","±1.8","56,186","±3,442","10.9%","±0.6","37,216","±2,744","11.4%","±0.8","188,099","±6,128","9.9%","±0.3","32,941","±2,589","9.4%","±0.7","34,157","±2,446","12.8%","±0.9","8,029","±995","10.9%","±1.3","2,896","±762","11.1%","±2.7","228,345","±7,806","11.9%","±0.4","83,724","±4,122","11.5%","±0.5","7,142","±1,126","8.5%","±1.2","13,229","±1,524","9.7%","±1.1","139,356","±4,753","12.9%","±0.4","62,987","±3,366","11.2%","±0.6","44,257","±2,358","12.9%","±0.7","34,631","±2,058","11.9%","±0.7","53,374","±3,421","11.8%","±0.7","48,244","±3,026","9.5%","±0.6","20,362","±1,845","13.8%","±1.2","41,190","±2,691","11.0%","±0.7","59,733","±2,996","12.6%","±0.6","130,871","±4,581","12.8%","±0.4","57,107","±2,833","11.4%","±0.6","44,569","±3,091","12.5%","±0.8","65,833","±3,683","11.4%","±0.6","12,571","±1,660","10.4%","±1.3","24,820","±1,760","13.2%","±0.9","17,531","±2,117","10.3%","±1.1","16,033","±1,689","13.4%","±1.3","85,895","±4,601","13.6%","±0.7","21,586","±2,278","9.9%","±1.0","182,707","±5,387","12.7%","±0.4","103,630","±4,513","12.1%","±0.5","8,375","±1,036","9.0%","±1.1","140,960","±4,697","13.2%","±0.4","45,167","±2,381","10.9%","±0.5","35,074","±2,255","11.3%","±0.7","170,869","±4,528","12.9%","±0.3","11,083","±1,401","15.5%","±2.0","58,523","±3,557","11.7%","±0.7","11,874","±1,310","11.6%","±1.2","73,036","±4,020","11.1%","±0.6","269,663","±7,892","11.5%","±0.3","14,632","±1,747","8.1%","±1.0","9,788","±1,224","14.7%","±1.7","61,146","±3,542","10.2%","±0.6","59,230","±2,904","11.7%","±0.6","27,634","±2,317","9.8%","±0.8","71,752","±3,081","13.5%","±0.5","6,342","±1,067","9.8%","±1.6","49,685","±3,295","10.6%","±0.7"
"        20.0 to 24.9 percent","35,108","±2,653","6.7%","±0.5","2,651","±664","5.0%","±1.3","32,157","±2,218","6.2%","±0.4","20,724","±2,112","6.3%","±0.6","123,064","±4,875","6.5%","±0.3","16,459","±1,876","4.7%","±0.5","23,653","±1,933","8.8%","±0.7","5,938","±1,057","8.0%","±1.3","1,490","±429","5.7%","±1.6","141,699","±5,504","7.4%","±0.3","48,503","±3,038","6.7%","±0.4","5,559","±1,093","6.6%","±1.3","9,308","±1,470","6.8%","±1.1","84,742","±3,775","7.8%","±0.3","35,265","±2,654","6.2%","±0.5","25,019","±1,749","7.3%","±0.5","21,301","±1,632","7.3%","±0.6","29,646","±2,266","6.5%","±0.5","27,983","±2,256","5.5%","±0.4","15,076","±1,694","10.3%","±1.1","23,711","±1,835","6.3%","±0.5","39,675","±2,684","8.4%","±0.6","81,168","±3,297","8.0%","±0.3","35,276","±1,991","7.0%","±0.4","26,012","±2,319","7.3%","±0.7","43,072","±2,790","7.4%","±0.5","6,962","±1,041","5.7%","±0.9","13,755","±1,368","7.3%","±0.7","10,608","±1,619","6.2%","±1.0","12,703","±1,440","10.6%","±1.1","59,399","±2,933","9.4%","±0.5","12,482","±1,548","5.8%","±0.7","120,948","±4,662","8.4%","±0.3","61,693","±3,942","7.2%","±0.5","4,205","±731","4.5%","±0.8","80,769","±3,509","7.6%","±0.3","26,053","±2,020","6.3%","±0.5","22,860","±2,252","7.3%","±0.7","109,930","±3,797","8.3%","±0.3","7,034","±1,104","9.8%","±1.5","32,854","±2,865","6.5%","±0.6","7,131","±1,320","7.0%","±1.2","41,008","±2,681","6.2%","±0.4","170,060","±6,799","7.3%","±0.3","9,844","±1,372","5.4%","±0.7","6,940","±902","10.5%","±1.3","38,298","±2,638","6.4%","±0.4","31,487","±2,067","6.2%","±0.4","18,602","±2,132","6.6%","±0.8","48,556","±2,994","9.1%","±0.5","3,593","±897","5.6%","±1.4","32,310","±2,622","6.9%","±0.5"
"        25.0 to 29.9 percent","21,631","±2,274","4.1%","±0.4","1,660","±435","3.2%","±0.8","18,678","±2,027","3.6%","±0.4","14,380","±1,754","4.4%","±0.5","80,033","±3,820","4.2%","±0.2","12,084","±1,389","3.4%","±0.4","18,474","±1,683","6.9%","±0.6","3,298","±851","4.5%","±1.1","1,089","±353","4.2%","±1.4","93,273","±4,780","4.9%","±0.2","28,805","±2,476","4.0%","±0.3","3,125","±743","3.7%","±0.9","5,569","±966","4.1%","±0.7","56,385","±3,243","5.2%","±0.3","22,167","±1,678","3.9%","±0.3","15,670","±1,513","4.6%","±0.4","11,231","±1,338","3.9%","±0.5","18,018","±1,850","4.0%","±0.4","20,530","±1,862","4.0%","±0.4","7,628","±1,096","5.2%","±0.7","17,285","±2,018","4.6%","±0.5","29,026","±2,152","6.1%","±0.4","50,962","±2,802","5.0%","±0.3","22,900","±1,847","4.6%","±0.3","17,170","±2,146","4.8%","±0.6","27,463","±2,118","4.7%","±0.4","5,244","±939","4.3%","±0.8","8,313","±999","4.4%","±0.5","6,379","±989","3.7%","±0.6","8,977","±1,365","7.5%","±1.1","42,085","±2,751","6.6%","±0.4","8,259","±1,347","3.8%","±0.6","82,203","±3,896","5.7%","±0.3","41,384","±2,800","4.9%","±0.3","3,282","±754","3.5%","±0.8","51,028","±2,867","4.8%","±0.3","16,472","±1,674","4.0%","±0.4","15,774","±1,946","5.1%","±0.6","69,202","±2,796","5.2%","±0.2","4,450","±1,031","6.2%","±1.3","21,692","±2,219","4.3%","±0.4","4,565","±839","4.5%","±0.8","27,990","±2,488","4.3%","±0.4","101,792","±4,482","4.4%","±0.2","5,407","±927","3.0%","±0.5","3,758","±642","5.7%","±0.9","21,811","±2,066","3.6%","±0.3","21,677","±2,137","4.3%","±0.4","12,674","±1,843","4.5%","±0.6","30,098","±1,849","5.7%","±0.3","2,246","±665","3.5%","±1.0","19,670","±2,064","4.2%","±0.4"
"        30.0 to 34.9 percent","14,455","±1,893","2.8%","±0.4","1,212","±484","2.3%","±0.9","15,020","±1,841","2.9%","±0.4","9,411","±1,395","2.9%","±0.4","56,992","±3,641","3.0%","±0.2","9,195","±1,174","2.6%","±0.3","12,912","±1,399","4.8%","±0.5","2,055","±701","2.8%","±1.0","607","±272","2.3%","±1.0","65,598","±4,202","3.4%","±0.2","22,124","±2,317","3.0%","±0.3","1,315","±475","1.6%","±0.6","2,627","±755","1.9%","±0.6","39,371","±2,552","3.6%","±0.2","14,899","±1,798","2.6%","±0.3","8,558","±1,140","2.5%","±0.3","7,760","±1,265","2.7%","±0.4","13,923","±1,689","3.1%","±0.4","12,736","±1,446","2.5%","±0.3","6,444","±1,117","4.4%","±0.7","9,071","±1,230","2.4%","±0.3","20,029","±2,058","4.2%","±0.4","35,537","±2,572","3.5%","±0.2","13,965","±1,250","2.8%","±0.2","12,737","±1,840","3.6%","±0.5","18,956","±1,880","3.3%","±0.3","3,773","±725","3.1%","±0.6","4,848","±796","2.6%","±0.4","3,802","±854","2.2%","±0.5","6,312","±1,178","5.3%","±1.0","33,646","±2,613","5.3%","±0.4","5,225","±1,120","2.4%","±0.5","63,052","±3,492","4.4%","±0.2","26,312","±2,474","3.1%","±0.3","1,921","±445","2.1%","±0.5","31,495","±2,342","2.9%","±0.2","11,338","±1,247","2.7%","±0.3","10,282","±1,644","3.3%","±0.5","51,645","±2,597","3.9%","±0.2","3,003","±879","4.2%","±1.2","14,337","±1,854","2.9%","±0.4","2,387","±545","2.3%","±0.5","18,721","±1,935","2.9%","±0.3","72,507","±4,313","3.1%","±0.2","2,624","±672","1.4%","±0.4","3,294","±563","5.0%","±0.9","15,258","±1,736","2.5%","±0.3","13,337","±1,482","2.6%","±0.3","5,549","±1,027","2.0%","±0.4","18,792","±1,509","3.5%","±0.3","2,267","±920","3.5%","±1.4","12,051","±1,501","2.6%","±0.3"
"        35.0 percent or more","53,681","±3,558","10.3%","±0.6","5,526","±920","10.5%","±1.7","46,662","±3,465","9.0%","±0.6","29,176","±2,506","8.9%","±0.7","230,719","±7,081","12.1%","±0.3","30,322","±2,140","8.6%","±0.6","50,510","±3,035","18.9%","±1.0","7,605","±1,216","10.3%","±1.5","3,818","±900","14.6%","±3.2","246,068","±8,636","12.8%","±0.4","76,100","±4,148","10.5%","±0.5","7,802","±1,143","9.3%","±1.3","11,009","±1,562","8.1%","±1.1","137,245","±4,975","12.7%","±0.4","47,959","±2,696","8.5%","±0.5","30,350","±2,298","8.9%","±0.6","28,827","±2,266","9.9%","±0.7","39,625","±2,650","8.7%","±0.6","41,917","±3,178","8.2%","±0.6","18,752","±1,767","12.8%","±1.1","42,657","±2,628","11.4%","±0.7","75,783","±3,407","16.0%","±0.7","121,689","±3,974","11.9%","±0.4","49,276","±2,419","9.8%","±0.5","39,314","±2,749","11.1%","±0.7","58,321","±3,239","10.1%","±0.5","12,291","±1,482","10.1%","±1.2","19,006","±1,777","10.1%","±0.9","16,206","±1,810","9.5%","±1.0","19,488","±1,940","16.3%","±1.6","135,388","±5,471","21.4%","±0.8","20,285","±1,907","9.3%","±0.9","247,964","±7,977","17.3%","±0.5","86,043","±4,311","10.1%","±0.5","6,341","±799","6.8%","±0.8","105,362","±4,651","9.9%","±0.4","33,078","±2,152","8.0%","±0.5","37,435","±2,523","12.0%","±0.8","168,460","±5,210","12.7%","±0.4","11,137","±1,580","15.6%","±2.0","46,975","±3,104","9.4%","±0.6","9,012","±1,050","8.8%","±1.0","56,062","±3,766","8.5%","±0.5","232,853","±7,991","10.0%","±0.3","12,295","±1,430","6.8%","±0.7","12,864","±1,139","19.4%","±1.5","59,312","±3,378","9.9%","±0.5","50,920","±3,344","10.0%","±0.6","17,657","±1,952","6.3%","±0.7","62,166","±2,909","11.7%","±0.5","4,923","±961","7.6%","±1.5","52,801","±3,280","11.3%","±0.7"
"    Not computed","8,847","±1,259","(X)","(X)","252","±128","(X)","(X)","11,743","±1,456","(X)","(X)","4,028","±969","(X)","(X)","23,708","±2,179","(X)","(X)","3,619","±917","(X)","(X)","3,312","±857","(X)","(X)","1,291","±540","(X)","(X)","880","±553","(X)","(X)","46,036","±3,815","(X)","(X)","13,988","±1,995","(X)","(X)","1,929","±571","(X)","(X)","1,269","±475","(X)","(X)","13,199","±1,420","(X)","(X)","6,454","±1,200","(X)","(X)","3,138","±687","(X)","(X)","3,698","±686","(X)","(X)","6,376","±1,279","(X)","(X)","8,218","±1,499","(X)","(X)","813","±306","(X)","(X)","4,197","±895","(X)","(X)","5,459","±993","(X)","(X)","14,126","±1,892","(X)","(X)","4,485","±742","(X)","(X)","6,744","±1,511","(X)","(X)","7,329","±1,322","(X)","(X)","1,153","±458","(X)","(X)","1,675","±508","(X)","(X)","2,602","±630","(X)","(X)","652","±268","(X)","(X)","6,019","±1,148","(X)","(X)","5,549","±1,115","(X)","(X)","14,942","±1,708","(X)","(X)","12,928","±1,740","(X)","(X)","871","±344","(X)","(X)","11,949","±1,454","(X)","(X)","5,801","±818","(X)","(X)","4,119","±1,206","(X)","(X)","14,172","±1,754","(X)","(X)","945","±355","(X)","(X)","11,950","±1,623","(X)","(X)","1,037","±366","(X)","(X)","8,673","±1,525","(X)","(X)","30,135","±2,748","(X)","(X)","2,297","±785","(X)","(X)","424","±235","(X)","(X)","5,988","±987","(X)","(X)","5,807","±997","(X)","(X)","4,124","±979","(X)","(X)","5,191","±802","(X)","(X)","738","±357","(X)","(X)","29,348","±2,566","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","530,308","±11,404","530,308","(X)","86,129","±3,986","86,129","(X)","895,086","±13,169","895,086","(X)","347,792","±9,114","347,792","(X)","5,712,348","±27,687","5,712,348","(X)","711,281","±11,345","711,281","(X)","433,692","±8,097","433,692","(X)","99,114","±4,182","99,114","(X)","158,505","±4,953","158,505","(X)","2,511,244","±21,750","2,511,244","(X)","1,275,945","±14,933","1,275,945","(X)","182,357","±4,536","182,357","(X)","174,830","±6,119","174,830","(X)","1,570,617","±14,104","1,570,617","(X)","740,424","±10,019","740,424","(X)","337,656","±6,737","337,656","(X)","346,498","±6,360","346,498","(X)","522,715","±8,668","522,715","(X)","542,758","±10,138","542,758","(X)","147,151","±5,279","147,151","(X)","708,445","±10,071","708,445","(X)","946,155","±11,977","946,155","(X)","1,074,897","±11,015","1,074,897","(X)","574,927","±9,160","574,927","(X)","308,348","±7,620","308,348","(X)","728,385","±11,747","728,385","(X)","125,986","±4,883","125,986","(X)","237,572","±4,623","237,572","(X)","458,628","±7,518","458,628","(X)","148,462","±4,919","148,462","(X)","1,134,410","±10,180","1,134,410","(X)","232,567","±6,237","232,567","(X)","3,295,207","±19,960","3,295,207","(X)","1,263,576","±14,829","1,263,576","(X)","103,504","±4,002","103,504","(X)","1,505,811","±15,057","1,505,811","(X)","463,054","±7,950","463,054","(X)","579,111","±8,891","579,111","(X)","1,447,547","±16,552","1,447,547","(X)","161,842","±4,933","161,842","(X)","533,071","±10,497","533,071","(X)","98,674","±3,126","98,674","(X)","784,077","±11,559","784,077","(X)","3,415,493","±27,323","3,415,493","(X)","269,856","±5,852","269,856","(X)","72,338","±2,892","72,338","(X)","1,013,959","±13,928","1,013,959","(X)","983,803","±12,880","983,803","(X)","171,833","±5,956","171,833","(X)","737,907","±9,615","737,907","(X)","69,460","±3,444","69,460","(X)","244,514","±7,110","244,514","(X)"
"        Less than $200","9,739","±1,704","1.8%","±0.3","583","±391","0.7%","±0.5","8,082","±1,232","0.9%","±0.1","6,642","±1,237","1.9%","±0.4","36,390","±3,123","0.6%","±0.1","7,899","±1,357","1.1%","±0.2","6,450","±1,460","1.5%","±0.3","1,011","±524","1.0%","±0.5","3,864","±859","2.4%","±0.5","23,927","±2,374","1.0%","±0.1","19,165","±2,333","1.5%","±0.2","1,963","±655","1.1%","±0.4","2,048","±749","1.2%","±0.4","28,863","±2,569","1.8%","±0.2","12,013","±1,606","1.6%","±0.2","6,136","±1,265","1.8%","±0.4","4,108","±806","1.2%","±0.2","13,998","±1,898","2.7%","±0.4","8,605","±1,502","1.6%","±0.3","4,674","±1,195","3.2%","±0.8","9,339","±1,348","1.3%","±0.2","18,170","±2,010","1.9%","±0.2","19,669","±1,982","1.8%","±0.2","12,334","±1,710","2.1%","±0.3","6,506","±1,166","2.1%","±0.4","8,933","±1,419","1.2%","±0.2","3,623","±1,077","2.9%","±0.8","4,489","±1,050","1.9%","±0.4","2,812","±791","0.6%","±0.2","1,731","±626","1.2%","±0.4","14,552","±2,073","1.3%","±0.2","4,095","±936","1.8%","±0.4","38,042","±3,158","1.2%","±0.1","20,901","±2,365","1.7%","±0.2","2,908","±1,178","2.8%","±1.1","39,988","±3,338","2.7%","±0.2","8,493","±1,225","1.8%","±0.3","8,037","±1,505","1.4%","±0.3","27,410","±2,433","1.9%","±0.2","2,707","±861","1.7%","±0.5","8,987","±1,597","1.7%","±0.3","3,205","±778","3.2%","±0.8","18,638","±2,308","2.4%","±0.3","40,161","±3,000","1.2%","±0.1","2,902","±1,013","1.1%","±0.4","924","±482","1.3%","±0.7","15,054","±2,011","1.5%","±0.2","14,130","±2,260","1.4%","±0.2","4,994","±1,139","2.9%","±0.7","6,901","±1,311","0.9%","±0.2","594","±299","0.9%","±0.4","42,590","±2,903","17.4%","±1.2"
"        $200 to $299","27,559","±2,413","5.2%","±0.5","656","±319","0.8%","±0.4","13,431","±1,779","1.5%","±0.2","16,646","±1,969","4.8%","±0.6","105,938","±5,148","1.9%","±0.1","16,790","±2,092","2.4%","±0.3","16,212","±1,906","3.7%","±0.4","2,339","±627","2.4%","±0.6","6,332","±1,336","4.0%","±0.8","43,947","±3,711","1.8%","±0.1","38,368","±3,091","3.0%","±0.2","3,600","±919","2.0%","±0.5","6,333","±1,236","3.6%","±0.7","49,198","±3,572","3.1%","±0.2","23,951","±2,663","3.2%","±0.4","13,227","±1,528","3.9%","±0.5","11,357","±1,656","3.3%","±0.5","27,587","±2,176","5.3%","±0.4","22,527","±2,213","4.2%","±0.4","9,188","±1,391","6.2%","±0.9","18,196","±2,163","2.6%","±0.3","54,202","±3,193","5.7%","±0.3","38,028","±2,544","3.5%","±0.2","25,375","±2,319","4.4%","±0.4","18,204","±2,594","5.9%","±0.8","28,827","±2,666","4.0%","±0.4","4,943","±902","3.9%","±0.7","7,335","±1,045","3.1%","±0.4","4,209","±870","0.9%","±0.2","4,638","±1,048","3.1%","±0.7","32,806","±2,700","2.9%","±0.2","6,720","±1,196","2.9%","±0.5","137,048","±6,149","4.2%","±0.2","36,311","±3,062","2.9%","±0.2","4,074","±831","3.9%","±0.8","59,021","±3,436","3.9%","±0.2","16,216","±1,449","3.5%","±0.3","12,245","±1,643","2.1%","±0.3","63,348","±3,453","4.4%","±0.2","11,388","±1,751","7.0%","±1.1","17,828","±2,214","3.3%","±0.4","5,767","±1,124","5.8%","±1.1","34,074","±2,591","4.3%","±0.3","72,907","±4,597","2.1%","±0.1","5,799","±1,179","2.1%","±0.4","4,082","±983","5.6%","±1.4","21,606","±2,163","2.1%","±0.2","23,069","±2,447","2.3%","±0.2","12,056","±1,670","7.0%","±0.9","22,921","±1,914","3.1%","±0.3","2,581","±916","3.7%","±1.3","21,950","±2,417","9.0%","±0.9"
"        $300 to $499","70,815","±4,709","13.4%","±0.9","4,321","±984","5.0%","±1.1","56,345","±3,468","6.3%","±0.4","53,031","±4,168","15.2%","±1.1","185,377","±6,290","3.2%","±0.1","27,984","±2,550","3.9%","±0.4","26,997","±2,598","6.2%","±0.6","4,185","±917","4.2%","±0.9","6,953","±1,267","4.4%","±0.8","89,637","±5,467","3.6%","±0.2","95,148","±4,954","7.5%","±0.4","5,136","±1,092","2.8%","±0.6","19,051","±2,498","10.9%","±1.3","120,211","±5,135","7.7%","±0.3","73,803","±3,891","10.0%","±0.5","49,827","±3,005","14.8%","±0.9","39,688","±2,845","11.5%","±0.8","75,614","±4,309","14.5%","±0.8","55,173","±3,730","10.2%","±0.6","15,546","±1,988","10.6%","±1.3","24,408","±2,222","3.4%","±0.3","76,337","±4,646","8.1%","±0.5","95,398","±5,165","8.9%","±0.5","51,116","±2,833","8.9%","±0.5","41,712","±3,327","13.5%","±1.0","83,524","±4,493","11.5%","±0.6","17,231","±1,742","13.7%","±1.4","29,785","±2,246","12.5%","±0.9","18,969","±2,005","4.1%","±0.4","8,155","±1,621","5.5%","±1.1","41,468","±2,893","3.7%","±0.3","24,918","±2,453","10.7%","±1.0","203,839","±6,958","6.2%","±0.2","109,213","±5,389","8.6%","±0.4","13,454","±1,461","13.0%","±1.5","171,984","±6,564","11.4%","±0.4","50,273","±2,784","10.9%","±0.6","31,866","±2,637","5.5%","±0.5","124,640","±5,442","8.6%","±0.4","11,640","±1,587","7.2%","±0.9","51,247","±3,845","9.6%","±0.7","18,298","±1,838","18.5%","±1.6","87,058","±4,082","11.1%","±0.5","199,489","±8,208","5.8%","±0.2","16,457","±1,946","6.1%","±0.7","4,966","±921","6.9%","±1.2","53,613","±4,162","5.3%","±0.4","45,818","±3,409","4.7%","±0.3","29,740","±2,728","17.3%","±1.5","68,227","±3,841","9.2%","±0.5","5,827","±1,332","8.4%","±1.8","70,880","±4,457","29.0%","±1.5"
"        $500 to $749","180,399","±7,213","34.0%","±1.1","7,385","±1,137","8.6%","±1.4","200,221","±5,870","22.4%","±0.6","134,792","±5,667","38.8%","±1.3","491,027","±10,954","8.6%","±0.2","117,054","±6,157","16.5%","±0.8","39,632","±3,448","9.1%","±0.8","11,035","±1,647","11.1%","±1.6","8,440","±1,344","5.3%","±0.8","388,009","±10,798","15.5%","±0.4","281,460","±9,321","22.1%","±0.7","11,982","±1,857","6.6%","±1.0","58,601","±3,683","33.5%","±1.8","316,417","±8,296","20.1%","±0.5","256,838","±7,718","34.7%","±0.9","120,649","±5,053","35.7%","±1.4","107,450","±4,753","31.0%","±1.3","199,000","±6,346","38.1%","±0.9","147,257","±5,934","27.1%","±1.1","38,208","±3,182","26.0%","±1.9","51,853","±3,424","7.3%","±0.5","101,759","±5,272","10.8%","±0.5","332,236","±8,784","30.9%","±0.7","124,528","±5,292","21.7%","±0.8","105,848","±5,162","34.3%","±1.5","238,874","±6,883","32.8%","±0.8","43,544","±2,727","34.6%","±1.9","79,648","±3,522","33.5%","±1.4","92,502","±4,604","20.2%","±1.0","17,648","±2,200","11.9%","±1.5","73,771","±4,737","6.5%","±0.4","73,621","±4,072","31.7%","±1.7","412,218","±9,663","12.5%","±0.3","377,780","±10,168","29.9%","±0.8","35,772","±2,865","34.6%","±2.5","513,882","±9,707","34.1%","±0.6","165,345","±5,949","35.7%","±1.1","112,918","±5,848","19.5%","±1.0","348,773","±10,048","24.1%","±0.6","21,812","±2,397","13.5%","±1.4","160,377","±6,734","30.1%","±1.0","36,588","±2,329","37.1%","±2.1","233,152","±7,382","29.7%","±0.9","799,763","±14,177","23.4%","±0.4","61,296","±3,947","22.7%","±1.5","12,950","±1,508","17.9%","±1.9","134,236","±5,672","13.2%","±0.5","146,973","±6,109","14.9%","±0.6","65,217","±4,042","38.0%","±2.0","235,811","±7,009","32.0%","±0.9","22,514","±2,466","32.4%","±3.4","62,886","±3,942","25.7%","±1.4"
"        $750 to $999","134,471","±5,822","25.4%","±1.0","16,115","±2,113","18.7%","±2.3","242,680","±7,703","27.1%","±0.8","89,787","±5,464","25.8%","±1.3","957,585","±13,963","16.8%","±0.2","175,259","±6,572","24.6%","±0.9","98,673","±5,369","22.8%","±1.2","28,799","±2,862","29.1%","±2.6","23,537","±2,567","14.8%","±1.5","704,513","±14,966","28.1%","±0.5","376,328","±11,506","29.5%","±0.8","20,866","±2,376","11.4%","±1.3","47,055","±3,280","26.9%","±1.9","422,955","±9,129","26.9%","±0.5","220,627","±7,648","29.8%","±1.0","83,003","±4,508","24.6%","±1.2","97,474","±4,393","28.1%","±1.2","127,877","±5,288","24.5%","±0.9","166,990","±6,867","30.8%","±1.1","42,743","±3,269","29.0%","±2.0","107,070","±5,247","15.1%","±0.7","151,913","±5,114","16.1%","±0.5","302,349","±8,314","28.1%","±0.8","158,875","±5,176","27.6%","±0.9","80,256","±5,009","26.0%","±1.5","202,061","±7,112","27.7%","±0.8","31,250","±2,934","24.8%","±1.9","66,037","±3,429","27.8%","±1.3","132,695","±6,126","28.9%","±1.2","43,076","±3,207","29.0%","±1.9","200,033","±7,270","17.6%","±0.6","56,430","±4,283","24.3%","±1.6","527,730","±11,403","16.0%","±0.3","364,750","±9,844","28.9%","±0.7","24,212","±2,622","23.4%","±2.5","418,357","±10,732","27.8%","±0.6","125,720","±5,008","27.2%","±1.0","174,468","±6,674","30.1%","±1.1","389,379","±9,700","26.9%","±0.6","46,809","±3,510","28.9%","±1.8","152,419","±7,007","28.6%","±1.1","19,468","±1,860","19.7%","±1.9","215,767","±7,957","27.5%","±0.9","985,634","±18,731","28.9%","±0.5","82,622","±3,827","30.6%","±1.3","19,623","±2,163","27.1%","±2.6","200,545","±6,518","19.8%","±0.6","238,212","±7,071","24.2%","±0.7","38,468","±3,462","22.4%","±1.8","224,642","±6,896","30.4%","±0.9","18,454","±2,425","26.6%","±3.3","28,243","±2,895","11.6%","±1.1"
"        $1,000 to $1,499","87,515","±6,058","16.5%","±1.1","32,430","±3,214","37.7%","±3.2","279,504","±8,996","31.2%","±0.8","38,683","±3,602","11.1%","±1.0","1,894,595","±18,817","33.2%","±0.3","238,983","±7,453","33.6%","±0.9","152,681","±6,159","35.2%","±1.1","38,775","±2,809","39.1%","±2.5","39,329","±2,892","24.8%","±1.7","864,549","±15,026","34.4%","±0.5","367,037","±12,831","28.8%","±0.9","52,741","±3,392","28.9%","±1.8","32,999","±3,333","18.9%","±1.7","403,750","±10,985","25.7%","±0.6","125,524","±5,112","17.0%","±0.7","51,839","±4,205","15.4%","±1.2","66,196","±3,489","19.1%","±1.0","63,727","±4,066","12.2%","±0.8","113,371","±5,192","20.9%","±0.9","28,680","±2,712","19.5%","±1.7","272,476","±7,695","38.5%","±0.9","292,557","±8,832","30.9%","±0.8","220,486","±6,804","20.5%","±0.6","137,900","±4,869","24.0%","±0.7","48,001","±3,492","15.6%","±1.1","133,612","±5,925","18.3%","±0.7","19,110","±2,101","15.2%","±1.5","40,908","±2,901","17.2%","±1.1","151,307","±6,793","33.0%","±1.3","50,733","±3,083","34.2%","±1.9","454,633","±9,492","40.1%","±0.7","53,791","±3,538","23.1%","±1.5","1,001,096","±13,362","30.4%","±0.4","280,875","±8,864","22.2%","±0.6","15,670","±2,157","15.1%","±2.0","245,551","±7,603","16.3%","±0.5","77,824","±4,542","16.8%","±0.9","171,579","±6,490","29.6%","±1.0","353,911","±9,658","24.4%","±0.6","50,778","±3,266","31.4%","±2.0","107,600","±5,313","20.2%","±1.0","12,850","±1,672","13.0%","±1.6","152,225","±6,501","19.4%","±0.7","941,148","±17,671","27.6%","±0.4","74,698","±4,761","27.7%","±1.6","20,617","±1,856","28.5%","±2.5","310,170","±8,698","30.6%","±0.8","314,560","±8,255","32.0%","±0.8","17,013","±1,962","9.9%","±1.1","145,103","±5,164","19.7%","±0.6","13,558","±1,769","19.5%","±2.4","14,954","±1,846","6.1%","±0.8"
